MG, 573.3952048446682
RJ, 566.4764882393292
SC, 565.9298573928548
SP, 565.2388727012016
RS, 563.0405928058228
DF, 562.9248207396635
ES, 562.3945845176763
RN, 554.9938939819933
PR, 552.813453684366
GO, 544.906645830338
MS, 543.5008589804507
SE, 543.2681290818299
PB, 541.8245787183935
PE, 541.281714499326
MT, 538.4712300923122
PI, 535.8644467920865
BA, 533.4722222684605
AL, 527.3520443076125
RO, 526.6261419387816
RR, 526.2234633054538
PA, 522.5036042856835
CE, 521.1139256303196
TO, 520.4292297382817
AP, 520.188759188289
AC, 519.5661700526736
MA, 514.7302015376504
AM, 504.2282706787143
