CE, 22.332838797199805, 508.1021339111043, 621.5757644026036
PI, 22.258497608814952, 508.17653586800895, 621.2889979527484
TO, 21.300799682722584, 504.2504448827533, 611.659822046466
AM, 20.81469765141628, 492.69835528711707, 595.2520282736313
AC, 19.647418842390117, 506.572798211455, 606.1012776176752
MA, 18.8438938859139, 501.55537529311215, 596.0679379924434
PA, 18.508367082328412, 501.1759889483966, 593.9354807114555
BA, 18.47856352215269, 508.92388038220423, 602.9657028980342
SE, 18.195052290955083, 514.5754565004896, 608.2027298871745
GO, 18.132924905817816, 520.5886050752789, 614.9865459018237
MG, 17.222866937762184, 544.6296356169782, 638.4304730629094
PB, 17.11711507030389, 517.925049740837, 606.5788764829048
MS, 16.895946241819757, 521.1156016669579, 609.1630135823427
MT, 16.54858655132523, 517.217546139012, 602.8097394204669
DF, 15.76313649575718, 531.2624740351572, 615.0061029680555
PE, 15.36910091142374, 522.651044069493, 602.977810447143
AP, 15.222944253086013, 506.05625605908995, 583.0929178082195
RJ, 14.799277645591502, 531.1067372415954, 609.7066978804212
AL, 14.483523286870081, 508.0933142746575, 581.6831277666574
PR, 14.324489147379893, 528.9442537246879, 604.7128159451704
ES, 14.23755100962154, 546.7068590946229, 624.5445270313196
SC, 13.945388897151002, 541.7662872750217, 617.3177029491798
RO, 13.755168086843405, 518.1846742127356, 589.4618471509592
RS, 13.63787934584173, 542.6622244387298, 616.6698438631447
SP, 13.271478856504192, 536.2215329168471, 607.3860602819291
RN, 13.222342700681434, 535.7224167970434, 606.5574706703214
RR, 13.221061343444873, 516.1824972375687, 584.4273018414733
